form	lemma	POS	morph
།		PUNCT
སྙིང་ག་	སྙིང་ག་	NOUN
འི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
བསྲེགས་པ་	བསྲེགས་པ་	VERB
ས་	གིས་	PART
ནི་	ནི་	NO_POS
དེ་བཞིན་	དེ་བཞིན་	OTHER
གཤེགས་པ་	གཤེགས་པ་	VERB
ལྔ་	ལྔ་	NUM
བསྲེགས་	བསྲེགས་	NO_POS
ཞེ་	ཅེས་	PART
བྱ་	བྱ་	VERB
སྟེ་	སྟེ་	PART
དེ་བཞིན་	དེ་བཞིན་	OTHER
གཤེགས་པ་	གཤེགས་པ་	VERB
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
བདག་ཉིད་	བདག་ཉིད་	NOUN
ཀྱི་	གི་	PART
བྷྲཱུཾ་		NON_WORD
ཨཱཾ་		NON_WORD
ཛྲཱིཾ་		NON_WORD
ཁཾཾ་		NON_WORD
ཧཱུྃ་		NON_WORD
རྣམས་	རྣམས་	DET
སོ་	སོ་	PART
། །		PUNCT
ཡང་	ཀྱང་	PART
མགྲིན་པ་	མགྲིན་པ་	NOUN
ར་	ལ་	PART
སོང་	སོང་	VERB
སྟེ་	སྟེ་	PART
བསྐོར་བ་	བསྐོར་བ་	VERB
ལན་	ལན་	NOUN
གསུམ་	གསུམ་	NUM
བྱ་	བྱ་	VERB
ན་	ནས་	PART
མགྲིན་པ་	མགྲིན་པ་	NOUN
འི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
བསྲེགས་པ་	བསྲེགས་པ་	VERB
ནི་	ནི་	NO_POS
སྤྱན་	སྤྱན་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ཡང་	ཀྱང་	PART
བསྲེགས་	བསྲེགས་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
ཡ་	ཡ་	NOUN
ར་	ར་	ADP
ལ་	ལ་	ADP
ཝ་	ཝ་	OTHER
བཞི་	བཞི་	NUM
བསྲེགས་པ་	བསྲེགས་པ་	VERB
ས་	གིས་	PART
སོ་	སོ་	PART
། །		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
སྨིན་མཚམས་	སྨིན་མཚམས་	NOUN
གནད་	གནད་	NOUN
ཀྱི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ཕྱེ་	ཕྱེ་	VERB
སྟེ་	སྟེ་	PART
སྣ་བུག་	སྣ་བུག་	NO_POS
གཡས་པ་	གཡས་པ་	VERB
ན་	ནས་	PART
སོང་	སོང་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
དེ་བཞིན་	དེ་བཞིན་	OTHER
གཤེགས་པ་	གཤེགས་པ་	VERB
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
སྣ་བུག་	སྣ་བུག་	NO_POS
གཡོན་པ་	གཡོན་པ་	ADJ
ན་	ནས་	PART
ཞུགས་	ཞུགས་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
བཞི་	བཞི་	NUM
བཞུ་	བཞུ་	NO_POS
ན་	ནས་	PART
༑		PUNCT
སྣ་བུག་	སྣ་བུག་	NO_POS
གཡས་པ་	གཡས་པ་	VERB
ན་	ནས་	PART
ཕྱུང་	ཕྱུང་	VERB
ན་	ནས་	PART
རང་	རང་	PRON
གི་	གི་	PART
སྣ་བུག་	སྣ་བུག་	NO_POS
གཡོན་	གཡོན་	NOUN
ན་	ནས་	PART
ཞུགས་	ཞུགས་	VERB
ན་	ནས་	PART
སྤྱི་གཙུག་	སྤྱི་གཙུག་	NOUN
གི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ཕྱེ་	ཕྱེ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
རྩ་	རྩ་	NUM
གཡོན་པ་	གཡོན་པ་	ADJ
ན་	ནས་	PART
བརྒྱུད་	བརྒྱུད་	NO_POS
ན་	ནས་	PART
སྔ་	སྔ་	NOUN
བསྲེགས་པ་	བསྲེགས་པ་	VERB
རྣམས་	རྣམས་	DET
གསོས་	གསོས་	VERB
བཏབ་	བཏབ་	VERB
སྟེ་	སྟེ་	PART
ལྟེ་བ་	ལྟེ་བ་	NOUN
འི་	གི་	PART
ཨཾ་		NON_WORD
གི་	གི་	PART
བ་	བ་	NOUN
དུ་	ལ་	PART
ཕྱིན་པ་	ཕྱིན་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
དེ་ལས་	དེ་ལས་	NO_POS
མེ་	མེ་	NOUN
ཆེ་	ཆེ་	VERB
ར་	ལ་	PART
འབའ་	འབའ་	VERB
ཏེ་	སྟེ་	PART
ཨ་བ་	ཨ་བ་	NO_POS
དྷཱུ་		NON_WORD
ཏཱི་		NON_WORD
ན་	ནས་	PART
ཞུགས་	ཞུགས་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
སྤྱི་གཙུག་	སྤྱི་གཙུག་	NOUN
གི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
ཧཾ་		NON_WORD
		
ཞ་	ཞ་	OTHER
		
ཨཾ་		NON_WORD
		
ལ་	ལ་	ADP
ཕོག་	ཕོག་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
དེ་ལས་	དེ་ལས་	NO_POS
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཀྱི་	གི་	PART
སེམས་	སེམས་	NOUN
ཀྱི་	གི་	PART
རྒྱུན་	རྒྱུན་	NOUN
འཛག་པ་	འཛག་པ་	VERB
ནི་	ནི་	NO_POS
བསྲེགས་པ་	བསྲེགས་པ་	VERB
ས་	གིས་	PART
ཧཾ་		NON_WORD
ལ་	ལ་	ADP
ས་	གིས་	PART
རི་བོང་	རི་བོང་	NOUN
ཅན་	ཅན་	PART
ཏེ་	སྟེ་	PART
ཟླ་བ་	ཟླ་བ་	NOUN
འི་	གི་	PART
བརྡ་	བརྡ་	NOUN
ས་	གིས་	PART
བསྟན་པ་	བསྟན་པ་	VERB
འི་	གི་	PART
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཀྱི་	གི་	PART
སེམས་	སེམས་	NOUN
འཛག་	འཛག་	VERB
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
འི་	གི་	PART
དོན་	དོན་	NOUN
ཏོ་	གོ་	PART
། །		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
འབའ་	འབའ་	VERB
འཛག་	འཛག་	VERB
གི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
རྩེ་	རྩེ་	NOUN
ཕྲད་པ་	ཕྲད་པ་	VERB
ལ་	ལ་	ADP
དམིགས་	དམིགས་	VERB
ཏེ་	སྟེ་	PART
སྲོག་	སྲོག་	NOUN
དང་	དང་	NO_POS
རྩོལ་བ་	རྩོལ་བ་	VERB
ཡང་དག་པ་	ཡང་དག་པ་	ADJ
ར་	ལ་	PART
བསྡམས་	བསྡམས་	NO_POS
ལ་	ལ་	ADP
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
དུ་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
བུ་	བུ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
རང་བྱུང་	རང་བྱུང་	NOUN
གི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
འབྱུང་བ་	འབྱུང་བ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
ཞིང་	ཞིང་	SCONJ
།		PUNCT
སྔ་	སྔ་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
འི་	གི་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
ཀྱི་	གི་	PART
རླུང་	རླུང་	NOUN
རྣམས་	རྣམས་	DET
ཀྱང་	ཀྱང་	PART
འགག་པ་	འགག་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
ཆོ་	ཆོ་	NOUN
མཐུན་པ་	མཐུན་པ་	VERB
འི་	གི་	PART
ཉམས་	ཉམས་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
རྫོགས་པ་	རྫོགས་པ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
རོ་	རོ་	NOUN
། །		PUNCT
བཤད་པ་	བཤད་པ་	VERB
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
མན་ངག་	མན་ངག་	NOUN
ག་	ག་	PRON
།		PUNCT
ོགཞན་		NON_WORD
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
འདོད་པ་	འདོད་པ་	VERB
ས་	གིས་	PART
བཤད་པ་	བཤད་པ་	VERB
འི་	གི་	PART
རྒྱུད་	རྒྱུད་	NOUN
དུ་	ལ་	PART
བཙལ་བ་	བཙལ་བ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ནི་	ནི་	NO_POS
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འཆང་བ་	འཆང་བ་	VERB
སྟེ་	སྟེ་	PART
འདི་	འདི་	DET
ར་	ལ་	PART
ལྷན་ཅིག་	ལྷན་ཅིག་	OTHER
སྐྱེས་པ་	སྐྱེས་པ་	VERB
འི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སོ་	སོ་	PART
༑ ༑		PUNCT
རིགས་	རིགས་	NOUN
ནི་	ནི་	NO_POS
