form	lemma	POS	morph
		
ཞ་	ཞ་	OTHER
		
ལུ་	ལུ་	NO_POS
		
མཾ་	མཾ་	NO_POS
		
ཙྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
།		PUNCT
ནུབ་	ནུབ་	ADV
ཏུ་	ལ་	PART
ཀྃ་		NON_WORD
པྃ་		NON_WORD
		
ཞ་	ཞ་	OTHER
		
ལུ་	ལུ་	NO_POS
		
པྲཾ་		NON_WORD
		
ཧཱུྃ་		NON_WORD
།		PUNCT
ལྷོ་	ལྷོ་	NOUN
ར་	ལ་	PART
བྃ་		NON_WORD
མྃ་		NON_WORD
		
ལུ་	ལུ་	NO_POS
		
ལཾ་		NON_WORD
		
ཧཱུྃ་		NON_WORD
།		PUNCT
མེ་	མེ་	NOUN
ར་	ལ་	PART
སུྃ་		NON_WORD
བྃ་		NON_WORD
		
ལུ་	ལུ་	NO_POS
		
བིཾ་		NON_WORD
		
ཧཱུྃ་		NON_WORD
།		PUNCT
སྲིན་པོ་	སྲིན་པོ་	NOUN
ར་	ལ་	PART
ཨ་	ཨ་	X
		
ཞ་	ཞ་	OTHER
		
ལུ་	ལུ་	NO_POS
		
ཨཾ་		NON_WORD
		
ཁྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
།		PUNCT
དབང་ལྡན་	དབང་ལྡན་	NO_POS
དུ་	ལ་	PART
བྃ་		NON_WORD
		
ལྃ་		NON_WORD
ཧྲྃ་		NON_WORD
		
ཞ་	ཞ་	OTHER
		
ཏྲུཾ་		NON_WORD
		
ལུ་	ལུ་	NO_POS
		
ཏྲཾ་		NON_WORD
		
ཧཱུྃ་		NON_WORD
།		PUNCT
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
ཕྱི་རོལ་	ཕྱི་རོལ་	NOUN
དུ་	ལ་	PART
མུ་ཁྱུད་	མུ་ཁྱུད་	NOUN
ཕྲ་བ་	ཕྲ་བ་	VERB
གཅིག་	གཅིག་	NUM
ལ་	ལ་	ADP
འདབ་མ་	འདབ་མ་	NOUN
རེ་རེ་	རེ་རེ་	DET
འི་	གི་	PART
ཐད་སོ་	ཐད་སོ་	ADJ
ར་	ལ་	PART
གསལ་བྱེད་	གསལ་བྱེད་	NOUN
བརྒྱད་	བརྒྱད་	NUM
དེ་	དེ་	DET
།		PUNCT
འདི་ལྟར་	འདི་ལྟར་	NO_POS
ཤ་	ཤ་	VERB
ན་	ནས་	PART
གཡོན་སྐོར་	གཡོན་སྐོར་	NO_POS
གྱིས་	གིས་	PART
།		PUNCT
ཀྃ་		NON_WORD
ཁྃ་		NON_WORD
		
གྃ་		NON_WORD
གྷྃ་		NON_WORD
		
ཞ་	ཞ་	OTHER
		
གྷཾ་		NON_WORD
བྷཾ་		NON_WORD
		
།		PUNCT
མེ་	མེ་	NOUN
ན་	ནས་	PART
བཟུང་	བཟུང་	NO_POS
སྟེ་	སྟེ་	PART
གཡས་སྐོར་	གཡས་སྐོར་	NO_POS
གྱིས་	གིས་	PART
།		PUNCT
ངྃ་		NON_WORD
ཙྃ་		NON_WORD
ཚྃ་		NON_WORD
ཛྃ་		NON_WORD
།		PUNCT
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
ཕྱི་རོལ་	ཕྱི་རོལ་	NOUN
དུ་	ལ་	PART
སྣ་ཚོགས་	སྣ་ཚོགས་	DET
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
།		PUNCT
ཕྱོགས་	ཕྱོགས་	NOUN
རེ་རེ་	རེ་རེ་	DET
ར་	ལ་	PART
རྭ་	རྭ་	NOUN
གསུམ་	གསུམ་	NUM
གསུམ་པ་	གསུམ་པ་	NUM
འི་	གི་	PART
དབུས་མ་	དབུས་མ་	ADJ
རྣམས་	རྣམས་	DET
ལ་	ལ་	ADP
ཞལ་	ཞལ་	NOUN
བཞི་པ་	བཞི་པ་	ADJ
འི་	གི་	PART
སྔགས་	སྔགས་	NOUN
ཤ་	ཤ་	VERB
ན་	ནས་	PART
བརྩམས་	བརྩམས་	VERB
ཏེ་	སྟེ་	PART
གཡོན་སྐོར་	གཡོན་སྐོར་	NO_POS
